date,Eyinos,Marathonas,Mornos,Yliko,Total
1985-01-31,0,476464390,18361997000,16604510000,35442971390
1985-07-31,0,3001904478,112326688000,99131830000,214460422478
1986-01-31,0,4960771406,91934895000,82961588000,179857254406
1986-07-31,0,5510526868,97955028000,88040241000,191505795868
1987-01-31,0,4528137513,77222099000,72974667000,154724903513
1987-07-31,0,5276763713,73823324000,92958339000,172058426713
1988-01-31,0,4015165317,57409730000,81241659000,142666554317
1988-07-31,0,4655724298,63495104000,81343585000,149494413298
1989-01-31,0,2102949394,51634415000,61165098000,114902462394
1989-07-31,0,5354115633,51675603000,58331949000,115361667633
1990-01-31,0,4442735614,40010087000,36512455000,80965277614
1990-07-31,0,4500347783,30697603000,19876331000,55074281783
1991-01-31,0,4266422816,20405675000,7457670000,32129767816
1991-07-31,0,4250655345,39850306000,24851794000,68952755345
1992-01-31,0,4542980783,34991914000,16731043000,56265937783
1992-07-31,0,4327909789,30376671000,18444152000,53148732789
1993-01-31,0,4421111693,19947226000,7110070000,31478407693
1993-07-31,0,4699000326,21243017000,5090150000,31032167326
1994-01-31,0,4069392687,18475147000,1702226000,24246765687
1994-07-31,0,4317319298,35429472000,16618683000,56365474298
1995-01-31,0,4174440120,42322292000,7778625000,54275357120
1995-07-31,0,3788749127,65192291000,21720634000,90701674127
1996-01-31,0,3702839396,66755351000,10559988000,81018178396
1996-07-31,0,4068990001,98430868000,35856856000,138356714001
1997-01-31,0,4538587350,93871723000,34522380000,132932690350
1997-07-31,0,3445386221,118248866000,53762931000,175457183221
1998-01-31,0,3946581150,105848693000,47264736000,157060010150
1998-07-31,0,4436064990,115899770000,59695605000,180031439990
1999-01-31,0,4017365494,100567537000,54009012000,158593914494
1999-07-31,0,4412776521,121363586000,79839248000,205615610521
2000-01-31,0,2922887018,112517566000,74402784000,189843237018
2000-07-31,0,3926691365,114975602000,75755414000,194657707365
2001-01-31,0,3373960717,82554930000,59139295000,145068185717
2001-07-31,0,4812310924,59699309000,50138158000,114649777924
2002-01-31,207055756,5040580626,39485166000,31208225000,75941027382
2002-07-31,7597748073,4993739842,47862175000,46825798000,107279460915
2003-01-31,11478311893,4855081274,45287232000,39343035000,100963660167
2003-07-31,6621587934,4859281595,106826986000,91682756000,209990611529
2004-01-31,5908359966,4216087115,93755397000,91555503000,195435347081
2004-07-31,10538638758,4841489858,115135032000,100504397000,231019557616
2005-01-31,6584318516,4351301960,96585940000,84314201000,191835761476
2005-07-31,12810766278,4066446006,115359058000,88617959000,220854229284
2006-01-31,8208234595,3992226766,110329655000,78406058000,200936174361
2006-07-31,18534937621,4565952583,126726291000,97409369000,247236550204
2007-01-31,5593018809,4333485874,113287950000,88467173000,211681627683
2007-07-31,10358369843,4748764855,87538421000,89249447000,191895002698
2008-01-31,11702076402,4675650606,57337886000,73803671000,147519284008
2008-07-31,8500526786,4366780918,54771212000,61923806000,129562325704
2009-01-31,9205877602,4674292104,33426650000,41098739000,88405558706
2009-07-31,11542199218,4228373326,81372957000,43624615000,140768144544
2010-01-31,8155257000,4528019000,78839520000,36946163000,128468959000
2010-07-31,16709608000,4268981000,119969421000,54316795000,195264805000
2011-01-31,11766193000,4163828000,107772586000,46569279000,170271886000
2011-07-31,10589434000,4286377000,116230278000,69458564000,200564653000
2012-01-31,10539503000,4498259000,95061882000,70488356000,180558920000
2012-07-31,11118285000,5142714000,110527873000,83754362000,210543234000
2013-01-31,10824834000,4660129000,97059796000,74648224000,187192983000
2013-07-31,18194332000,4899267000,127603268000,91008557000,241656874000
2014-01-31,12818271000,4588705000,111817952000,79188282000,208406460000
2014-07-31,14080076000,5106769000,116995245000,83832689000,220014779000
2015-01-31,10124589000,5032272000,99170861000,73201047000,187528769000
2015-07-31,18701429000,5006560000,125457807000,89813860000,238979656000
2016-01-31,13745343000,5048822000,113135317000,87309909000,219239391000
2016-07-31,17633847000,5151642000,126386866000,86286033000,235458388000
2017-01-31,11385657000,5042809000,107517218000,71367577000,195313261000
2017-07-31,13591137000,4966726000,110519150000,73210254000,202287267000
2018-01-31,11500032000,4995375000,89105313000,64950853000,170551573000
2018-07-31,14924765000,4918041000,117573623000,74011015000,211427444000
2019-01-31,7559573000,5043041000,111969630000,73737756000,198310000000
2019-07-31,19664848000,4876982000,120787735000,100893172000,246222737000
2020-01-31,13834052000,4885000000,106347021000,95898359000,220964432000
2020-07-31,13495314000,4904456000,104102929000,100606130000,223108829000
2021-01-31,11080560000,4961317000,88435298000,94111820000,198588995000
2021-07-31,15628738000,4929342000,113921822000,95997707000,230477609000
2022-01-31,11235487000,4844764000,102985945000,81975711000,201041907000
2022-07-31,16992707000,4885628000,123059970000,89477019000,234415324000
2023-01-31,7468306000,4974806000,109900648000,77052231000,199395991000
2023-07-31,8963715000,4813470000,109967532000,72717785000,196462502000
2024-01-31,8308657000,4653678000,91763321000,64050987000,168776643000
2024-07-31,9358676000,4426683000,83538464000,61681483000,159005306000
2025-01-31,7676451000,4627063000,57297911000,47603795000,117205220000
2025-07-31,5439067000,3658390000,52088241000,40161029000,100829755000
