date,Eyinos,Marathonas,Mornos,Yliko,Total
1985-12-31,0,7610394448,207215158000,184426519000,399252071448
1986-12-31,0,10050892959,178629501000,162780035000,351460428959
1987-12-31,0,9184089657,134011317000,173704070000,316899476657
1988-12-31,0,7129766363,115536508000,145018381000,267684655363
1989-12-31,0,9637031746,94009086000,100169836000,203815953746
1990-12-31,0,8819556779,52157654000,30690731000,91667941779
1991-12-31,0,8654433017,74831438000,40525893000,124011764017
1992-12-31,0,8849916230,52914483000,27465436000,89229835230
1993-12-31,0,8861823230,38710291000,7185896000,54758010230
1994-12-31,0,8371074835,73016388000,22871558000,104259020835
1995-12-31,0,7550609923,127294553000,32311292000,167156454923
1996-12-31,0,8622731347,186884501000,65599595000,261106827347
1997-12-31,0,7300781001,224053872000,99265669000,330620322001
1998-12-31,0,8635104194,217580592000,112199984000,338415680194
1999-12-31,0,7316718761,231606977000,151614883000,390538578761
2000-12-31,0,7112415373,205818938000,138067550000,350998903373
2001-12-31,48535727,9740103054,103248311000,84419632000,197456581781
2002-12-31,18080068932,9916030043,89376974000,85361467000,202734539975
2003-12-31,11636280170,9159956931,196628428000,174220304000,391644969101
2004-12-31,18406636266,9212103698,211706970000,187222200000,426547909964
2005-12-31,19365186237,8097667974,220658196000,167108652000,415229702211
2006-12-31,25946132594,8909341583,242545280000,184438322000,461839076177
2007-12-31,20881644898,9261849390,153166256000,166390961000,349700711288
2008-12-31,17411876868,9107336983,91620585000,108465235000,226605033851
2009-12-31,20166452358,8754031327,150487991000,80201202000,259609676685
2010-12-31,28628979000,8410079000,224258464000,99933852000,361231374000
2011-12-31,21182518000,8675576000,214546466000,135690000000,380065480000
2012-12-31,21687007000,9723831000,205531499000,157270864000,394213201000
2013-12-31,30619508000,9620926000,239207540000,170303049000,449695723000
2014-12-31,24513733000,10122648000,217699458000,157605616000,409941455000
2015-12-31,31785501000,10079995000,235881619000,174976429000,452723544000
2016-12-31,29958797000,10193840000,235175034000,160566762000,435894433000
2017-12-31,24639385000,9954174000,202570019000,138849399000,376012977000
2018-12-31,21998635000,9902714000,226627996000,143742723000,402272068000
2019-12-31,34608498000,9794865000,226223392000,194868831000,465495586000
2020-12-31,23148602000,9925613000,195589954000,195386876000,424051045000
2021-12-31,26810539000,9778282000,212352685000,180174230000,429115736000
2022-12-31,26276009000,9869273000,234978817000,167950923000,439075022000
2023-12-31,16775362000,9463024000,205150720000,138743353000,370132459000
2024-12-31,17431756000,9095228000,145291258000,112312578000,284130820000
2025-12-31,6493128000,4411651000,62717667000,47854473000,120959947000
