date,Aspropirgos,Galatsi,Kiourka,Menidi,Total
1996-01-01,0,291540,62000,303330,656870
1996-01-02,0,338090,56450,341330,735870
1996-01-03,0,219680,58090,343520,621290
1996-01-04,0,317390,53940,342610,713940
1996-01-05,0,340030,60090,344920,745040
1996-01-06,0,317790,56580,362080,736450
1996-01-07,0,311910,60490,336470,708870
1996-01-08,0,321120,58640,349200,728960
1996-01-09,0,330380,55010,348610,734000
1996-01-10,0,332340,60960,348030,741330
1996-01-11,0,329780,67390,360030,757200
1996-01-12,0,318090,56880,362810,737780
1996-01-13,0,337080,60610,364440,762130
1996-01-14,0,314840,64010,333980,712830
1996-01-15,0,325200,59120,339540,723860
1996-01-16,0,334590,56980,342590,734160
1996-01-17,0,320950,62990,330730,714670
1996-01-18,0,337170,70010,356130,763310
1996-01-19,0,340360,68610,367260,776230
1996-01-20,0,343470,62890,383870,790230
1996-01-21,0,326390,63410,355260,745060
1996-01-22,0,335950,71110,355190,762250
1996-01-23,0,320740,59320,397260,777320
1996-01-24,0,234830,58190,456220,749240
1996-01-25,0,240040,45520,497150,782710
1996-01-26,0,241410,52000,492950,786360
1996-01-27,0,244080,49420,497820,791320
1996-01-28,0,230430,83660,482040,796130
1996-01-29,0,233370,58150,465200,756720
1996-01-30,0,217940,59890,476100,753930
1996-01-31,0,267590,68430,416350,752370
1996-02-01,0,254290,48870,455740,758900
1996-02-02,0,228510,46480,499680,774670
1996-02-03,0,235790,51360,527430,814580
1996-02-04,0,215960,74590,461210,751760
1996-02-05,0,230960,64790,444560,740310
1996-02-06,0,256800,62190,462110,781100
1996-02-07,0,223590,66390,465820,755800
1996-02-08,0,230800,71470,476970,779240
1996-02-09,0,251710,69420,444170,765300
1996-02-10,0,247190,63700,492970,803860
1996-02-11,0,226370,54910,449530,730810
1996-02-12,0,238250,59480,466510,764240
1996-02-13,0,237860,62910,453670,754440
1996-02-14,0,323630,57390,403390,784410
1996-02-15,0,318040,67640,404440,790120
1996-02-16,0,320610,67090,372820,760520
1996-02-17,0,343250,71290,390780,805320
1996-02-18,0,300940,62290,371110,734340
1996-02-19,0,319510,64090,398980,782580
1996-02-20,0,322410,60840,389950,773200
1996-02-21,0,316650,57790,384200,758640
1996-02-22,0,320870,63790,362920,747580
1996-02-23,0,329520,63700,366350,759570
1996-02-24,0,339200,74200,358150,771550
1996-02-25,0,311430,64350,335310,711090
1996-02-26,0,308620,46390,313220,668230
1996-02-27,0,346390,49490,381620,777500
1996-02-28,0,289110,52340,401830,743280
1996-02-29,0,338330,43560,367710,749600
1996-03-01,0,329460,53910,383090,766460
1996-03-02,0,324120,59390,429040,812550
1996-03-03,0,296750,56050,373520,726320
1996-03-04,0,324040,55390,380320,759750
1996-03-05,0,312990,42260,367330,722580
1996-03-06,0,325750,48960,378610,753320
1996-03-07,0,317520,43960,402460,763940
1996-03-08,0,323900,46720,385300,755920
1996-03-09,0,333790,56900,397710,788400
1996-03-10,0,304500,57080,394120,755700
1996-03-11,0,311660,57300,399700,768660
1996-03-12,0,324150,51910,362060,738120
1996-03-13,0,327580,53250,382390,763220
1996-03-14,0,318610,52270,374050,744930
1996-03-15,0,329550,52420,377740,759710
